Wall time,Step,Value
1531315001.0666378,5,5.3002705574035645
1531315012.5556638,15,5.274308681488037
1531315015.9761386,18,5.262457847595215
1531315022.8394988,24,5.219944953918457
1531315036.4006565,36,5.356743335723877
1531315040.9206305,40,5.271079063415527
1531315043.2062702,42,5.268941402435303
1531315045.516452,44,5.246920108795166
1531315046.6460125,45,5.25870418548584
1531315048.9088035,47,5.227498531341553
1531315055.728756,53,5.203392505645752
1531315056.8672082,54,5.164560317993164
1531315058.0282893,55,5.172753810882568
1531315059.165983,56,5.136027812957764
1531315069.553378,65,5.05666446685791
1531315076.5760343,71,5.016692638397217
1531315077.7542417,72,4.94895601272583
1531315078.9841082,73,4.898031234741211
1531315080.2028747,74,4.894594192504883
1531315086.1820922,79,4.889695644378662
1531315095.8191648,87,4.980673789978027
1531315104.1862135,94,4.602377891540527
1531315113.7739282,102,4.4949870109558105
1531315117.371586,105,4.189758777618408
1531315118.5972323,106,4.299291133880615
1531315127.114054,113,5.055190563201904
1531315133.1616113,118,4.581054210662842
1531315142.7684722,126,4.231046199798584
1531315146.3850045,129,4.489260673522949
1531315147.5700293,130,4.234711170196533
1531315158.6225734,139,4.1192779541015625
1531315161.091151,141,4.7049665451049805
1531315162.3260803,142,4.4030561447143555
1531315163.54728,143,4.156304836273193
1531315171.8619065,150,3.772364854812622
1531315177.9609935,155,3.6555047035217285
1531315180.3990414,157,3.6692116260528564
1531315181.605646,158,3.6884818077087402
1531315186.4957182,162,3.6539437770843506
1531315192.5715969,167,3.5266220569610596
1531315193.7587745,168,3.301316261291504
1531315197.4090822,171,3.9529969692230225
1531315204.7494297,177,3.370732545852661
1531315205.9557307,178,3.6351125240325928
1531315208.3952825,180,3.6799802780151367
1531315212.0587602,183,3.517026424407959
1531315214.4688144,185,3.3566362857818604
1531315215.695036,186,3.2589080333709717
1531315218.0659487,188,3.4552478790283203
1531315220.4493973,190,3.119987964630127
1531315221.6323404,191,3.0325286388397217
1531315230.1374567,198,3.071441173553467
1531315263.8389132,205,3.4624619483947754
1531315264.9601061,206,3.3470451831817627
1531315266.0656674,207,3.3103952407836914
1531315270.5244508,211,3.1100385189056396
1531315282.8462274,222,2.939460515975952
1531315285.0734446,224,3.0114541053771973
1531315289.639793,228,2.882042646408081
1531315293.057096,231,2.7630112171173096
1531315295.4235497,233,2.8930773735046387
1531315298.9417872,236,2.853461980819702
1531315313.177587,248,2.699310064315796
1531315320.316589,254,2.5604324340820312
1531315323.8344102,257,2.770336627960205
1531315326.222338,259,2.5648720264434814
1531315327.4311104,260,2.6012980937957764
1531315329.88482,262,2.762974977493286
1531315334.7966921,266,3.075453996658325
